,n,density,edges,min deg,max deg,avg deg,log nst1,log nst2,hit rate,K
0,30,0.2,89,2,11,5.933333333333334,44.059281374965764,43.71283311213928,0.9199999999999999,3671.5
1,30,0.2,94,3,10,6.266666666666667,47.114255687893646,46.80126746917429,0.9800000000000001,1821.5
2,30,0.2,84,1,10,5.6,42.33871362018375,41.9617787126767,0.9666666666666666,2350.0
3,35,0.2,122,4,11,6.9714285714285715,59.919117519790426,59.590116789907064,0.9885714285714287,1746.0
4,35,0.2,100,1,11,5.714285714285714,50.48225558486058,49.812219848763384,0.9428571428571428,1006.5
5,35,0.2,131,3,14,7.485714285714286,61.83224640598482,61.374690457798174,0.9885714285714287,1108.5
6,35,0.2,112,2,11,6.4,54.90558346417342,54.593593795830465,0.96,17334.5
7,35,0.2,114,2,11,6.514285714285714,56.42494886753805,55.99137743728122,0.96,51587.5
8,35,0.2,120,2,13,6.857142857142857,57.620969910200536,57.37741565210037,0.9714285714285713,7200.5
9,40,0.1,83,2,9,4.15,44.29296933859816,43.483738992927556,0.95,1159.0
10,40,0.1,86,1,9,4.3,43.909671214935045,43.434538391149744,0.9349999999999999,20297.0
11,50,0.2,246,2,18,9.84,103.45524913894339,103.26288991006166,0.976,36322.0
12,50,0.2,234,4,17,9.36,102.29751345285058,102.05655677523448,0.9960000000000001,4794.0
13,50,0.2,257,2,16,10.28,107.26829332558636,107.12503476500564,0.9960000000000001,2937.0
14,60,0.16666666666666666,290,2,16,9.666666666666666,124.10658100627445,123.84820409897463,0.9766666666666666,59313.0
15,60,0.16666666666666666,284,2,18,9.466666666666667,122.60580385670681,122.36511177393139,0.99,8099.0
16,60,0.16666666666666666,279,3,16,9.3,122.12736123881315,121.60050888579522,0.99,7241.0
17,500,0.02,2486,2,19,9.944,1084.8161676816833,1084.5485054637327,0.9964000000000001,51141.666666666664
18,1000,0.01,4951,2,20,9.902,2170.0429054511287,2169.797800226029,0.9976,76384.0
19,2000,0.005,9956,1,21,9.956,4367.742677459572,4367.463049917777,0.9983000000000001,52719.666666666664
