,0,1,2,3,4,5,6,7,8,9
0,120,0.1,674,2,21,11.233333333333333,13572483711259079569129150106919748568522627840867594895648405592968563294626478172338313702357921929415917132513804288,10500789419665022300593662264720315532324002415865742997810427495945418991896430408458934141280791649498507217802887168,0.9916666666666668,22959.6
1,120,0.1,730,4,20,12.166666666666666,1909963938965352575729129112656341624809100813410693334418521581510905810244830902171313480281656766966578090573024146227200,1531274228700130016410953679297849857379249686304945802541760488818130140989500327973231407696352949776500167142231754407936,0.9933333333333334,21261.8
2,120,0.1,678,5,20,11.3,133306438148542861206743280942282062975741949790842918313607899446915001903952113224206545939637648798926886317341016064,110680453334613361630108439595476754791797746272154607897879433110680529981691365293460562903932474775497346239504056320,0.99,15478.1
3,120,0.1,735,5,20,12.25,9895838630680818443568559150370402842609172281527491612314604372870317521648151765303515825811778075065776093487578564526080,8109062669644096573124714703986419953051617249914900301219830947837988189582390565768145562600168718858862468223085704118272,0.9949999999999999,2202.1
4,120,0.1,681,4,19,11.35,568450394359652090336641396548412204606544354191727987109687779899669793144435293541864518833560147327235610883922067456,479465118591340946976851369533581910089053731688336663665427565061276718480766526793827253794094495621582911662404403200,0.9949999999999999,32656.2
5,120,0.1,711,5,22,11.85,136089552755048667784712858928795398070877946783013535326352985124245597062094153513808402824884968006156193582589323247616,115748429013435932289131864737818444206665272760547454555479195202378700884553755778631547888855066674632917758491406368768,0.9933333333333334,16729.0
6,120,0.1,689,4,23,11.483333333333333,470090608628760133618578010232456801752092696545920705331841329097848797077097496264533271505311243030787615363640066048,403897397971822294906228420075800681512505401450611838284409675176557208539990972588321933775833714264538538853919621120,0.9933333333333334,12065.6
7,120,0.1,700,5,18,11.666666666666666,19118719757879959555105787575578792136253049223292292243107040281869032276553641652544764777595744792077678405058939584512,16108955305178167962656012008714106465830259189006678513792251742696823450047452521345370789335214732896933191364869357568,0.9949999999999999,39529.6
8,120,0.1,733,4,20,12.216666666666667,2620001674351696703693778274967720850707433260488771232983841090403178350835775139284596769408380976319455712693691372011520,2288778049886721057279651182634463672665817507830439365157935016017974158599539844539246305238962204491850261124316196241408,0.9883333333333333,27668.2
9,120,0.1,715,4,20,11.916666666666666,109923725353787198502128571085172415466675974650557442071429451397724984920516055170233908269269971043525004643059900612608,95642100236947773626573085886400058743556008628370129157914551848065671972479990353803833784903820932281035722938317275136,0.9983333333333334,2032.7
10,120,0.1,713,4,21,11.883333333333333,122821532818214230259643610295522581382381763491968105047926773434703214625503727166615035798528415612833424812312354619392,103107168897219942390438364994472423857442365238096079458673770291012840883165800886424771327819559549885194911548839034880,0.9966666666666667,7531.0
11,120,0.1,660,4,20,11.0,1357052008609086124558986382992481891230945408951076817260475511203611754739357754249580010630453891654760648316813312,1111117977931283751615602469854320032773263113407424028158378297727233269950214616383994266230379167591078841014026240,0.9933333333333334,9696.2
12,120,0.1,755,6,25,12.583333333333334,306297504160198696198703862717703234820110935733102107128701390413557627321296351792058970462786120571970603698114703761866752,263377971615241988736766968799469994664397418031339719412724616885144986946782322105616756800149825150548701584279529119023104,0.9949999999999999,13861.5
13,120,0.1,720,6,21,12.0,640320931515753060962329416758861813405471990285366554696432267229579982050482307210425590070621943896989670317997435125760,496350733568813441226240148105944878752620167202947378225342769980837803831118317935929506787643027335776539728254194417664,0.9916666666666668,13732.2
14,120,0.1,710,3,22,11.833333333333334,29319787479750872999527926709766140287696905594841106551814433875504445233924318106782382476819626728633225477730391293952,25191030806646132727475300198701002743143636591521561903058817077551457193652943929600055213528923340505409791694058029056,0.9933333333333334,9094.6
